county,office,district,party,candidate,votes
Ada,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,59423
Adams,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,375
Bannock,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,9351
Bear Lake,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,289
Benewah,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,719
Bingham,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,2578
Blaine,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,4186
Boise,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,780
Bonner,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,4219
Bonneville,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,7564
Boundary,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,785
Butte,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,240
Camas,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,100
Canyon,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,12244
Caribou,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,327
Cassia,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,824
Clark,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,37
Clearwater,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,761
Custer,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,420
Elmore,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1543
Franklin,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,312
Fremont,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,720
Gem,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1236
Gooding,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1021
Idaho,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1246
Jefferson,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1090
Jerome,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1080
Kootenai,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,11263
Latah,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,5813
Lemhi,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,654
Lewis,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,307
Lincoln,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,363
Madison,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,886
Minidoka,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,981
Nez Perce,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,4186
Oneida,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,174
Owyhee,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,460
Payette,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1321
Power,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,635
Shoshone,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1407
Teton,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1909
Twin Falls,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,5489
Valley,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,1475
Washington,UNITED STATES SENATOR,NA,DEM,Nels Mitchell,781
Ada,UNITED STATES SENATOR,NA,REP,Jim Risch,69404
Adams,UNITED STATES SENATOR,NA,REP,Jim Risch,1022
Bannock,UNITED STATES SENATOR,NA,REP,Jim Risch,12980
Bear Lake,UNITED STATES SENATOR,NA,REP,Jim Risch,1599
Benewah,UNITED STATES SENATOR,NA,REP,Jim Risch,1924
Bingham,UNITED STATES SENATOR,NA,REP,Jim Risch,8013
Blaine,UNITED STATES SENATOR,NA,REP,Jim Risch,2854
Boise,UNITED STATES SENATOR,NA,REP,Jim Risch,1902
Bonner,UNITED STATES SENATOR,NA,REP,Jim Risch,8462
Bonneville,UNITED STATES SENATOR,NA,REP,Jim Risch,19240
Boundary,UNITED STATES SENATOR,NA,REP,Jim Risch,2517
Butte,UNITED STATES SENATOR,NA,REP,Jim Risch,895
Camas,UNITED STATES SENATOR,NA,REP,Jim Risch,329
Canyon,UNITED STATES SENATOR,NA,REP,Jim Risch,32063
Caribou,UNITED STATES SENATOR,NA,REP,Jim Risch,1618
Cassia,UNITED STATES SENATOR,NA,REP,Jim Risch,4616
Clark,UNITED STATES SENATOR,NA,REP,Jim Risch,195
Clearwater,UNITED STATES SENATOR,NA,REP,Jim Risch,1876
Custer,UNITED STATES SENATOR,NA,REP,Jim Risch,1361
Elmore,UNITED STATES SENATOR,NA,REP,Jim Risch,3690
Franklin,UNITED STATES SENATOR,NA,REP,Jim Risch,2527
Fremont,UNITED STATES SENATOR,NA,REP,Jim Risch,3356
Gem,UNITED STATES SENATOR,NA,REP,Jim Risch,3961
Gooding,UNITED STATES SENATOR,NA,REP,Jim Risch,2912
